layer, ipt, ipterr, norm, normerr, ff, fferr, mha, mhaerr
0, 0.9997487105055817, 0.02126775260067285, 0.00025130238814130226, 0.021267742540751543, nan, nan, nan, nan
1, 0.6271046236280112, 0.06794279583668018, 0.028736777555540542, 0.02734272647730755, 0.2792556742071013, 0.07199590655892912, 0.06490292833323721, 0.026055522604470697
2, 0.4155901818490903, 0.06968984581597396, 0.07754146665379887, 0.03790355993441674, 0.3894417102127101, 0.08398443016311768, 0.11742663794012634, 0.027925305856693464
3, 0.28275843753523866, 0.06802645790416971, 0.09227701257975521, 0.0329375028824161, 0.46977750708025356, 0.0998699191524939, 0.15518704521546006, 0.034590739343149116
4, 0.20028317952803268, 0.057417137125123106, 0.11743068375281204, 0.02826389869446521, 0.49304299930385087, 0.09703923936990783, 0.18924313466203563, 0.0405312000668801
5, 0.1536308850440487, 0.05047963346029287, 0.14247857676228234, 0.029753209731136803, 0.4540447566416762, 0.0989071474114031, 0.2498457778286538, 0.05652188334344506
6, 0.11638462322020449, 0.042777645310951705, 0.1466728121011178, 0.038623204751811815, 0.44805653414287877, 0.09753332417393508, 0.28888602789971396, 0.06781288533232223
7, 0.08677785769205412, 0.03501466915195392, 0.15172099920288543, 0.04722653840425469, 0.4342941442692877, 0.10168657519984307, 0.3272069964635322, 0.07018854086756814
8, 0.070059271620449, 0.0320450467234588, 0.16243762059297287, 0.06316946610861641, 0.40727606118087556, 0.11363817892941488, 0.3602270436031611, 0.07801703449799469
9, 0.054861741091472335, 0.028798102239842676, 0.16170747546153577, 0.07002582847658226, 0.38919975996370365, 0.12272831901015306, 0.3942310193196501, 0.07173264343906546
10, 0.045718825424898725, 0.02667409262204067, 0.19305827049675162, 0.07601565547237353, 0.32072775753604493, 0.12954692898423847, 0.4404951445799493, 0.06480075482325869
11, 0.030466520305798456, 0.021361871966944734, 0.1842520179821725, 0.08396099777521053, 0.36138808628632846, 0.14518056361564424, 0.42389337825153467, 0.07060034097866724
12, 0.0040125077613690704, 0.005280821738270842, 0.034420442977057514, 0.03665794383424255, 0.7427246392672029, 0.11770413533240578, 0.21884241891519082, 0.08077429446796054
