layer, ipt, ipterr, norm, normerr, ff, fferr, mha, mhaerr, ffr2
0, 0.9990458531035219, 0.02183769785500228, 0.0009541612919998253, 0.021837696000977437,nan,nan,nan,nan,nan
1, 0.6238850916841707, 0.07041773585487827, 0.03056747614435777, 0.024713583390897256, 0.27772917761662524, 0.06562305404564085, 0.067818260369822, 0.025607724216998747, 0.7106128632164966
2, 0.43685570651277084, 0.07560549812471001, 0.08091532782193475, 0.03415632365107623, 0.37086294652304336, 0.07562073140604313, 0.11136601320730034, 0.030331623764531763, 0.5865581664733966
3, 0.31035126455112394, 0.07534168471161388, 0.09467576895900832, 0.03201121921562755, 0.44803046862987284, 0.09605804533914411, 0.14694249538909332, 0.03330450804549827, 0.4684599874868994
4, 0.23109685527738477, 0.06594654754687433, 0.1294685492564741, 0.030092563420674918, 0.46183464943991903, 0.09790463409226577, 0.17759995184852506, 0.041347020591793904, 0.44737786771074073
5, 0.1831212683921638, 0.059258716190156026, 0.15740906793219728, 0.03263389210003856, 0.4514482750526528, 0.1019230768707063, 0.20802139187697033, 0.058343393487422825, 0.4336154745420691
6, 0.14194754772813803, 0.052668261093823006, 0.15910319349273352, 0.04034811721023033, 0.4564851420158495, 0.10104713886533731, 0.24246412064861034, 0.07707796575651855, 0.39636434509687374
7, 0.11328313212296756, 0.04684639129212467, 0.1620902803076044, 0.04847586644093058, 0.45758086537784437, 0.09857038455077216, 0.2670457275872796, 0.08328693425274471, 0.38989090206419247
8, 0.10149552972782136, 0.04374380168781145, 0.18378114083963867, 0.06939479204229959, 0.43747799216975425, 0.10433352941259577, 0.27724534206512763, 0.09171615462147467, 0.4399913566419557
9, 0.09229685222478944, 0.04285434251913778, 0.20828346661507993, 0.09931194126717373, 0.4281921880627498, 0.1278712963838951, 0.2712275014017688, 0.09772015490969398, 0.4849098186204661
10, 0.08519611706601478, 0.0440492922323996, 0.26589582863834244, 0.13113492301914176, 0.37938073877085776, 0.17091756676681188, 0.269527323305158, 0.10636217823230032, 0.567926282925464
11, 0.09495346750226658, 0.0501038775205603, 0.4017054684292272, 0.17689551713788537, 0.2872975946089922, 0.18950741821385242, 0.21604348543964086, 0.11949440587723144, 0.5778296754086801
12, 0.04456088464932563, 0.02823279712743644, 0.2305335520725131, 0.10834513139596565, 0.4330420160656391, 0.164104625228098, 0.29186355248120904, 0.08071401607647317, 0.6128577620910654
